"ctr_id";"ctr_n";"ctr_ccode";"ctr_ccode2";"ctr_ccode_nr";"ctr_eu_date";"ctr_oecd_date";"ctr_wto_date";"ctr_cmt";"ctr_src"
1;"AUSTRALIA";"AUS";"AU";36;"";"1971-06-07";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org"
2;"AUSTRIA";"AUT";"AT";40;"1995-01-01";"1961-09-29";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
3;"BELGIUM";"BEL";"BE";56;"1951-04-18";"1961-09-13";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
4;"CANADA";"CAN";"CA";124;"";"1961-04-10";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org"
5;"SWITZERLAND";"CHE";"CH";756;"";"1961-09-28";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org"
6;"GERMANY";"DEU";"DE";276;"1951-04-18";"1961-09-27";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
7;"DENMARK";"DNK";"DK";208;"1973-01-01";"1961-05-30";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
8;"SPAIN";"ESP";"ES";724;"1986-01-01";"1961-08-03";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
9;"FINLAND";"FIN";"FI";246;"1995-01-01";"1969-01-28";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
10;"UNITED KINGDOM";"GBR";"GB";826;"1973-01-01";"1961-05-02";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
11;"GREECE";"GRC";"GR";300;"1981-01-01";"1961-09-27";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
12;"IRELAND";"IRL";"IE";372;"1973-01-01";"1961-08-17";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
13;"ICELAND";"ISL";"IS";352;"";"1961-06-05";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org"
14;"LUXEMBOURG";"LUX";"LU";442;"1951-04-18";"1961-12-07";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
15;"NETHERLANDS";"NLD";"NL";528;"1951-04-18";"1961-11-13";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
16;"NORWAY";"NOR";"NO";578;"";"1961-07-04";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org"
17;"PORTUGAL";"PRT";"PT";620;"1986-01-01";"1961-08-04";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
18;"SWEDEN";"SWE";"SE";752;"1995-01-01";"1961-09-28";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
19;"UNITED STATES";"USA";"US";840;"";"1961-04-12";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org"
20;"ISRAEL";"ISR";"IL";376;"";"2010-09-07";"1995-04-21";"";"www.iso.org, www.oecd.org, www.wto.org"
21;"CHILE";"CHL";"CL";152;"";"2010-05-07";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org"
22;"CZECH REPUBLIC";"CZE";"CZ";203;"2004-05-01";"1995-12-21";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
23;"ESTONIA";"EST";"EE";233;"2004-05-01";"2010-12-09";"1999-11-13";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
24;"HUNGARY";"HUN";"HU";348;"2004-05-01";"1996-05-07";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
25;"POLAND";"POL";"PL";616;"2004-05-01";"1996-11-22";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
26;"SLOVAKIA";"SVK";"SK";703;"2004-05-01";"2000-12-14";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
27;"SLOVENIA";"SVN";"SI";705;"2004-05-01";"2010-07-21";"1995-07-30";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
28;"TURKEY";"TUR";"TR";792;"";"1961-08-02";"1995-03-26";"";"www.iso.org, www.oecd.org, www.wto.org"
29;"FRANCE";"FRA";"FR";250;"1951-04-18";"1961-08-07";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
30;"NEW ZEALAND";"NZL";"NZ";554;"";"1973-05-29";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org"
31;"JAPAN";"JPN";"JP";392;"";"1964-04-28";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org"
32;"ITALY";"ITA";"IT";380;"1951-04-18";"1962-03-29";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org, http://europa.eu"
33;"MEXICO";"MEX";"MX";484;"";"1994-05-18";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org"
34;"REPUBLIC OF KOREA";"ROK";"KR";410;"";"1996-12-12";"1995-01-01";"";"www.iso.org, www.oecd.org, www.wto.org"
